Pocillopora131771177	positive regulation of non-motile cilium assembly
Pocillopora131786930	Acid trehalase-like
Pocillopora131798622	G-protein coupled receptor activity
Pocillopora131797770	transposition, RNA-mediated
Pocillopora131786095	protein targeting to lysosome
Pocillopora131782491	Guanylylate cyclase
Pocillopora131797942	motile cilium assembly
Pocillopora131789619	G-protein coupled receptor activity
Pocillopora136282185	adaptation of rhodopsin mediated signaling
Pocillopora131792105	Phospholipase A2
Pocillopora131799997	-
Pocillopora131780802	G-protein coupled receptor activity
Pocillopora131780210	Glutathione S-transferase, C-terminal domain
Pocillopora131772615	dioxygenase activity
Pocillopora131790850	dipeptidase activity
Pocillopora131779660	Pinin, desmosome associated protein
Pocillopora136277038	Protease, serine 56
Pocillopora131774953	Guanine nucleotide exchange factor for Ras-like GTPases; N-terminal motif
Pocillopora131796725	phosphatidylethanolamine binding
Pocillopora131773631	polyuridylation-dependent mRNA catabolic process
Pocillopora131794535	cellular response to nitrogen levels
Pocillopora131779859	fibroblast growth factor-activated receptor activity
Pocillopora136280411	thiol-dependent ubiquitin-specific protease activity
Pocillopora131797267	DNA polymerase epsilon subunit 3
Pocillopora131770529	-
Pocillopora131793818	aldonic acid metabolic process
Pocillopora131774581	V-maf avian musculoaponeurotic fibrosarcoma oncogene homolog
Pocillopora131799519	-
Pocillopora131786739	Lamina-associated polypeptide 2
Pocillopora131791901	K6-linked polyubiquitin modification-dependent protein binding
Pocillopora131799159	four-way junction helicase activity
Pocillopora131782511	ER-associated misfolded protein catabolic process
Pocillopora136283327	actin binding
Pocillopora131798171	peptidase M20
Pocillopora136278049	-
Pocillopora131795767	protein-cysteine S-acyltransferase activity
Pocillopora131788211	serine-type endopeptidase inhibitor activity
Pocillopora131787906	Coagulation factor 5/8 C-terminal domain, discoidin domain
Pocillopora131770626	biogenesis of lysosome-related organelles complex 1 subunit
Pocillopora131797576	Receptor-like tyrosine kinase
Pocillopora131777832	protein-cysteine S-palmitoyltransferase activity
Pocillopora136277870	oxygen carrier activity
Pocillopora136277432	sympathetic neuron projection guidance
Pocillopora131780385	Chromosome 14 open reading frame 159
Pocillopora131783684	mesenchymal-epithelial cell signaling involved in prostate gland development
Pocillopora131787868	sequence-specific DNA binding
Pocillopora136277334	Reverse transcriptase (RNA-dependent DNA polymerase)
Pocillopora131794833	Belongs to the G-protein coupled receptor 1 family
Pocillopora131769796	carbohydrate binding
Pocillopora131791351	carbohydrate binding
Pocillopora136281641	-
Pocillopora131783688	Extracellular domain of unknown function in nidogen (entactin) and hypothetical proteins.
Pocillopora131792262	mitochondrial fusion
Pocillopora131781391	Sodium-dependent phosphate transport protein
Pocillopora136282602	protein phosphatase regulator activity
Pocillopora136276762	Stimulated by retinoic acid gene 6 protein homolog
Pocillopora131794413	negative regulation of DNA damage response, signal transduction by p53 class mediator
Pocillopora136284210	Pao retrotransposon peptidase
Pocillopora131774908	thick ascending limb development
Pocillopora136279055	Tissue factor pathway inhibitor
Pocillopora131790945	G-protein coupled receptor activity
Pocillopora131784264	phosphatidylinositol binding
Pocillopora131785606	melatonin receptor activity
Pocillopora131787929	DNA-binding transcription factor activity, RNA polymerase II-specific
Pocillopora131795231	Core component of nucleosome. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling
Pocillopora131771325	Granulin
Pocillopora136277556	glucuronosyltransferase activity
Pocillopora131770332	Catalytic subunit of the poly(A)-nuclease (PAN) deadenylation complex, one of two cytoplasmic mRNA deadenylases involved in general and miRNA-mediated mRNA turnover. PAN specifically shortens poly(A) tails of RNA and the activity is stimulated by poly(A)-binding protein (PABP). PAN deadenylation is followed by rapid degradation of the shortened mRNA tails by the CCR4-NOT complex. Deadenylated mRNAs are then degraded by two alternative mechanisms, namely exosome-mediated 3'-5' exonucleolytic degradation, or deadenlyation-dependent mRNA decaping and subsequent 5'-3' exonucleolytic degradation by XRN1
Pocillopora131776770	Protein of unknown function (DUF229)
Pocillopora136280818	detection of mechanical stimulus
Pocillopora131772497	inorganic diphosphatase activity
Pocillopora136284391	Ribonuclease H protein
Pocillopora131798804	Si dkey-24l11.2
Pocillopora131768850	Rho GTPase activating protein 39
Pocillopora131790361	DTW
Pocillopora131778820	DNA binding
Pocillopora131777234	rRNA (adenine) methyltransferase activity
Pocillopora131776171	Potassium channel subfamily K member
Pocillopora131782177	nucleic acid binding
Pocillopora131779084	serine-type endopeptidase activity. It is involved in the biological process described with proteolysis
Pocillopora136281567	phosphoric diester hydrolase activity
Pocillopora131792574	regulation of mitotic cell cycle
Pocillopora136281177	-
Pocillopora131778846	transcription initiation from RNA polymerase II promoter
Pocillopora131797633	binding. It is involved in the biological process described with
Pocillopora131778218	regulation of cell shape
Pocillopora131785325	mitochondrial fusion
Pocillopora131793663	DSBA-like thioredoxin domain
Pocillopora131770702	receptor activity. It is involved in the biological process described with G-protein coupled receptor signaling pathway
Pocillopora131770986	NAD dependent epimerase/dehydratase family
Pocillopora131772428	Lipoxygenase
Pocillopora131794519	Mov10 RISC complex RNA helicase like 1
Pocillopora131786916	Kelch motif
Pocillopora131794347	Rho guanyl-nucleotide exchange factor activity
Pocillopora131784721	hydrolase activity
Pocillopora136281066	Reverse transcriptase (RNA-dependent DNA polymerase)
Pocillopora131799209	regulation of sequestering of zinc ion
Pocillopora131798820	-
Pocillopora131787225	G-protein coupled receptor activity
Pocillopora131783832	LSM domain
Pocillopora131780101	uridine kinase activity
Pocillopora131785185	Regulator of nonsense transcripts
Pocillopora131774759	major facilitator superfamily
Pocillopora131796414	-
Pocillopora131782486	organic anion transmembrane transporter activity
Pocillopora131771335	GTP-binding protein 10
Pocillopora136277917	Wnt-activated receptor activity
Pocillopora131794595	MAP kinase activity
Pocillopora131778608	CRT-like, chloroquine-resistance transporter-like
Pocillopora136282706	Ribonuclease H protein
Pocillopora131788404	age-dependent response to reactive oxygen species
Pocillopora131786349	nucleosome assembly
Pocillopora131793478	pineal gland development
Pocillopora131777682	fibroblast growth factor-activated receptor activity
Pocillopora131797112	trafficking protein particle complex
Pocillopora131788557	Belongs to the sodium neurotransmitter symporter (SNF) (TC 2.A.22) family
Pocillopora131769648	Catalyzes the formation of S-adenosylmethionine from methionine and ATP
Pocillopora131778702	Oxidoreductase activity. It is involved in the biological process described with oxidation-reduction process
Pocillopora131768569	GTPase activator activity
Pocillopora131791055	alpha-tubulin binding
Pocillopora131770771	positive regulation of GTPase activity
Pocillopora131779905	glutathione hydrolase activity
Pocillopora131769325	Allows the formation of correctly charged Gln-tRNA(Gln) through the transamidation of misacylated Glu-tRNA(Gln) in the mitochondria. The reaction takes place in the presence of glutamine and ATP through an activated gamma-phospho-Glu- tRNA(Gln)
Pocillopora131785650	positive regulation of histone H3-K9 dimethylation
Pocillopora136282751	G-protein coupled receptor activity
Pocillopora131784576	protein targeting to mitochondrion
Pocillopora131774562	Appr-1-p processing
Pocillopora131799213	Transformation transcription domain-associated
Pocillopora131796883	GMP binding
Pocillopora131787095	Cupin superfamily protein
Pocillopora131791416	actin filament bundle assembly
Pocillopora136283726	regulation of mitotic cell cycle
Pocillopora136282651	Calcium-independent, phospholipid- and diacylglycerol (DAG)-dependent serine threonine-protein kinase that plays contrasting roles in cell death and cell survival by functioning as a pro-apoptotic protein during DNA damage-induced apoptosis, but acting as an anti-apoptotic protein during cytokine receptor- initiated cell death, is involved in tumor suppression
Pocillopora131775307	G-protein coupled receptor activity
Pocillopora131772473	Belongs to the peptidase C19 family
Pocillopora131784756	fibroblast growth factor-activated receptor activity
Pocillopora131796341	-
Pocillopora131776254	Ubiquitin-2 like Rad60 SUMO-like
Pocillopora131797400	Choloylglycine hydrolase
Pocillopora131776167	malate metabolic process
Pocillopora131768635	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process
Pocillopora131788129	SREBP-SCAP complex retention in endoplasmic reticulum
Pocillopora131785740	steroid hormone receptor activity
Pocillopora131785883	structural constituent of ribosome
Pocillopora131770508	-
Pocillopora136277253	BTB POZ domain-containing protein KCTD21
Pocillopora136279888	Arachidonate 5-lipoxygenase
Pocillopora131785100	UDP-glucuronic acid transmembrane transporter activity
